epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.23,2.11041,1.65684,1.47009,0.5985,0.4554,0.52186,0.17641,2.31205,1.33353,1.4418,0.00332837,0.00332837,0.00332837
2,356.242,1.99013,1.41903,1.3605,0.575,0.50146,0.50408,0.16838,2.33073,1.45939,1.44418,0.00660675,0.00660675,0.00660675
3,531.867,2.06472,1.50723,1.40272,0.51184,0.55321,0.49018,0.17593,2.21722,1.58376,1.4177,0.00983012,0.00983012,0.00983012
4,707.078,2.09915,1.54338,1.44038,0.45416,0.5061,0.45478,0.14961,2.37068,1.51432,1.53463,0.0097525,0.0097525,0.0097525
5,882.334,2.05709,1.49762,1.41865,0.52378,0.55801,0.49936,0.16489,2.32849,1.45083,1.49437,0.00967,0.00967,0.00967
6,1057.59,2.03173,1.45665,1.4046,0.54989,0.4844,0.49787,0.16595,2.34556,1.43537,1.49721,0.0095875,0.0095875,0.0095875
7,1232.53,2.01422,1.41611,1.39136,0.5595,0.57615,0.536,0.17278,2.34281,1.39392,1.51235,0.009505,0.009505,0.009505
8,1407.52,1.96953,1.38192,1.37847,0.61117,0.54404,0.54995,0.19245,2.30006,1.31653,1.48868,0.0094225,0.0094225,0.0094225
9,1582.42,1.95902,1.35332,1.3685,0.61398,0.55872,0.56382,0.18562,2.34409,1.29673,1.50137,0.00934,0.00934,0.00934
10,1757.62,1.93753,1.31997,1.36251,0.666,0.57798,0.65737,0.25445,2.11425,1.15959,1.3633,0.0092575,0.0092575,0.0092575
11,1932.74,1.92124,1.29782,1.3522,0.63916,0.59633,0.61571,0.22426,2.20082,1.21346,1.41725,0.009175,0.009175,0.009175
12,2107.85,1.91391,1.28865,1.34368,0.61768,0.57361,0.59733,0.20125,2.32123,1.2155,1.47656,0.0090925,0.0090925,0.0090925
13,2282.95,1.89083,1.26382,1.33904,0.62697,0.55505,0.59087,0.21034,2.29876,1.19027,1.44158,0.00901,0.00901,0.00901
14,2458.07,1.88815,1.25211,1.33,0.64136,0.56767,0.60105,0.21072,2.30687,1.18087,1.43681,0.0089275,0.0089275,0.0089275
15,2633.17,1.86108,1.23448,1.32053,0.65403,0.54458,0.59767,0.20295,2.3625,1.24633,1.47898,0.008845,0.008845,0.008845
16,2808.46,1.86298,1.22957,1.31938,0.63815,0.61159,0.62096,0.22564,2.25425,1.12993,1.41282,0.0087625,0.0087625,0.0087625
17,2983.71,1.84174,1.20541,1.30851,0.69544,0.63265,0.66958,0.26022,2.1429,1.1061,1.35157,0.00868,0.00868,0.00868
18,3159.3,1.83593,1.18979,1.3032,0.72777,0.59817,0.6641,0.24885,2.19045,1.14008,1.38864,0.0085975,0.0085975,0.0085975
19,3334.71,1.82268,1.18142,1.30675,0.68916,0.60459,0.67245,0.26562,2.11177,1.08572,1.36619,0.008515,0.008515,0.008515
20,3510.08,1.8134,1.16646,1.2963,0.68952,0.63761,0.70967,0.29344,2.01312,1.04246,1.32428,0.0084325,0.0084325,0.0084325
21,3685.56,1.81368,1.1648,1.29486,0.72381,0.6059,0.68695,0.26766,2.17101,1.07487,1.36902,0.00835,0.00835,0.00835
22,3861.13,1.80357,1.14791,1.28308,0.71294,0.63394,0.70225,0.28019,2.07398,1.06268,1.34052,0.0082675,0.0082675,0.0082675
23,4036.5,1.78868,1.13738,1.27936,0.71268,0.60304,0.68656,0.27178,2.09544,1.06432,1.3431,0.008185,0.008185,0.008185
24,4211.74,1.77726,1.1267,1.27971,0.71471,0.5746,0.66633,0.26237,2.13836,1.06187,1.36853,0.0081025,0.0081025,0.0081025
25,4387.19,1.78209,1.12659,1.27453,0.71135,0.68349,0.72495,0.30343,2.00583,1.00402,1.31114,0.00802,0.00802,0.00802
26,4562.72,1.76619,1.11216,1.26907,0.728,0.62616,0.70731,0.28385,2.0735,1.02576,1.33361,0.0079375,0.0079375,0.0079375
27,4737.9,1.75018,1.09555,1.26358,0.74495,0.64404,0.71981,0.28623,2.08101,1.01578,1.33596,0.007855,0.007855,0.007855
28,4913,1.7483,1.09648,1.26286,0.73248,0.61651,0.70076,0.28486,2.04982,1.01619,1.32917,0.0077725,0.0077725,0.0077725
29,5088.37,1.73675,1.08845,1.25447,0.72793,0.59817,0.70035,0.27027,2.11172,1.01545,1.3466,0.00769,0.00769,0.00769
30,5263.5,1.72992,1.0774,1.25557,0.69792,0.59137,0.6791,0.27937,2.07558,1.0162,1.31864,0.0076075,0.0076075,0.0076075
31,5438.74,1.7345,1.07248,1.24267,0.73242,0.64587,0.71247,0.28808,2.0886,0.9839,1.32273,0.007525,0.007525,0.007525
32,5614.03,1.71434,1.0593,1.24945,0.73906,0.57944,0.68978,0.28128,2.08366,1.01796,1.34205,0.0074425,0.0074425,0.0074425
33,5789.32,1.70685,1.05512,1.23777,0.74329,0.6,0.70936,0.30575,1.98497,0.98437,1.28589,0.00736,0.00736,0.00736
34,5964.8,1.7083,1.04657,1.23858,0.73247,0.62752,0.72795,0.31282,1.99227,0.95676,1.28301,0.0072775,0.0072775,0.0072775
35,6140.48,1.69132,1.03604,1.22967,0.74629,0.6211,0.72554,0.31015,1.99349,0.95828,1.28447,0.007195,0.007195,0.007195
36,6315.73,1.69373,1.03386,1.23021,0.75469,0.64069,0.72941,0.30624,2.02447,0.95928,1.3048,0.0071125,0.0071125,0.0071125
37,6491.09,1.6858,1.02439,1.22869,0.71799,0.65636,0.7299,0.31125,1.96444,0.94552,1.27276,0.00703,0.00703,0.00703
38,6666.6,1.67992,1.02617,1.22415,0.74613,0.64711,0.73312,0.32725,1.91591,0.93521,1.25286,0.0069475,0.0069475,0.0069475
39,6842.11,1.67176,1.01011,1.21258,0.76313,0.65229,0.7515,0.33889,1.87293,0.908,1.23456,0.006865,0.006865,0.006865
40,7017.49,1.66618,1.00897,1.21884,0.73035,0.61651,0.72301,0.313,1.98278,0.95076,1.28334,0.0067825,0.0067825,0.0067825
41,7192.81,1.64877,0.99313,1.21453,0.76941,0.63119,0.74204,0.32151,1.95696,0.92736,1.28039,0.0067,0.0067,0.0067
42,7368.23,1.65777,0.99514,1.20482,0.75561,0.64587,0.74396,0.33209,1.91816,0.91114,1.24554,0.0066175,0.0066175,0.0066175
43,7543.52,1.63713,0.9777,1.21101,0.75155,0.65963,0.74543,0.32336,1.9318,0.91965,1.27339,0.006535,0.006535,0.006535
44,7718.85,1.63829,0.98087,1.20773,0.7465,0.63945,0.73603,0.31811,1.95288,0.93126,1.26607,0.0064525,0.0064525,0.0064525
45,7894.17,1.63319,0.97692,1.20109,0.76312,0.64037,0.74234,0.31801,1.96958,0.91537,1.26995,0.00637,0.00637,0.00637
46,8069.39,1.6254,0.9637,1.19429,0.76959,0.64862,0.74912,0.32729,1.9475,0.90428,1.25412,0.0062875,0.0062875,0.0062875
47,8247.46,1.61933,0.95617,1.19412,0.77601,0.60707,0.7319,0.32216,1.9503,0.90281,1.25554,0.006205,0.006205,0.006205
48,8422.56,1.61987,0.95764,1.18919,0.78933,0.63486,0.74512,0.33205,1.91924,0.89191,1.24863,0.0061225,0.0061225,0.0061225
49,8597.69,1.60955,0.95112,1.18601,0.78373,0.64128,0.75198,0.33319,1.90909,0.88517,1.2425,0.00604,0.00604,0.00604
50,8772.66,1.59191,0.93553,1.18087,0.79215,0.63984,0.75409,0.33759,1.90011,0.87381,1.22579,0.0059575,0.0059575,0.0059575
51,8947.77,1.5896,0.93752,1.17988,0.78466,0.64404,0.75429,0.3351,1.91227,0.88345,1.24181,0.005875,0.005875,0.005875
52,9122.78,1.59012,0.93341,1.18482,0.78697,0.64771,0.76053,0.33501,1.92457,0.87797,1.2455,0.0057925,0.0057925,0.0057925
53,9297.81,1.58629,0.92617,1.18019,0.77077,0.63547,0.74658,0.34136,1.89026,0.88216,1.22971,0.00571,0.00571,0.00571
54,9473.23,1.57725,0.92622,1.17674,0.77574,0.64739,0.75065,0.33961,1.90046,0.87845,1.234,0.0056275,0.0056275,0.0056275
