epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6952,2.18078,2.16608,1.43582,0.49326,0.4578,0.39599,0.11916,2.37057,1.78228,1.4602,0.00332837,0.00332837,0.00332837
2,137.48,2.10361,1.72924,1.3587,0.45952,0.42569,0.39407,0.12164,2.38102,1.82697,1.43987,0.00657927,0.00657927,0.00657927
3,203.221,2.15761,1.71923,1.38906,0.06799,0.40367,0.04732,0.01358,2.65476,4.15911,1.65296,0.00974766,0.00974766,0.00974766
4,268.391,2.16683,1.69411,1.40736,0.43705,0.43518,0.36937,0.11106,2.4564,1.87445,1.5125,0.00962875,0.00962875,0.00962875
5,333.779,2.12379,1.63188,1.38814,0.45069,0.46697,0.42183,0.13819,2.39583,1.56463,1.45649,0.009505,0.009505,0.009505
6,399.19,2.10568,1.58398,1.37768,0.50817,0.47523,0.43676,0.13266,2.42912,1.6114,1.49248,0.00938125,0.00938125,0.00938125
7,464.339,2.09176,1.54753,1.36505,0.49097,0.44312,0.4485,0.15094,2.36331,1.4802,1.4498,0.0092575,0.0092575,0.0092575
8,529.324,2.05441,1.51712,1.35563,0.55598,0.53578,0.52595,0.17738,2.2452,1.44087,1.38874,0.00913375,0.00913375,0.00913375
9,594.208,2.04504,1.49472,1.34587,0.5663,0.56902,0.54936,0.19799,2.18665,1.39005,1.34923,0.00901,0.00901,0.00901
10,659.505,2.02203,1.46,1.33417,0.55481,0.56972,0.54684,0.20296,2.17817,1.37594,1.33396,0.00888625,0.00888625,0.00888625
11,724.768,2.01087,1.44889,1.33291,0.54396,0.53394,0.51876,0.18834,2.25116,1.34426,1.37026,0.0087625,0.0087625,0.0087625
12,789.829,2.01327,1.44238,1.32847,0.58216,0.50826,0.53668,0.19629,2.21482,1.34731,1.34152,0.00863875,0.00863875,0.00863875
13,854.762,1.99132,1.41646,1.31974,0.59545,0.56881,0.56025,0.1892,2.29682,1.30713,1.36492,0.008515,0.008515,0.008515
14,919.931,1.98493,1.40795,1.31054,0.58618,0.55963,0.54382,0.20184,2.24562,1.27992,1.33894,0.00839125,0.00839125,0.00839125
15,985.124,1.96379,1.38632,1.30547,0.58395,0.57302,0.56714,0.20588,2.22746,1.29697,1.34832,0.0082675,0.0082675,0.0082675
16,1050.39,1.96488,1.37895,1.30313,0.59476,0.59083,0.58818,0.21229,2.2447,1.27242,1.34039,0.00814375,0.00814375,0.00814375
17,1115.39,1.95548,1.36263,1.29849,0.63416,0.56239,0.5887,0.2287,2.1592,1.21596,1.28733,0.00802,0.00802,0.00802
18,1180.37,1.94575,1.34697,1.29408,0.65481,0.61955,0.63016,0.23991,2.14156,1.23071,1.28847,0.00789625,0.00789625,0.00789625
19,1245.78,1.93961,1.34544,1.29769,0.62621,0.58711,0.60021,0.23172,2.15604,1.23228,1.30355,0.0077725,0.0077725,0.0077725
20,1310.88,1.92711,1.32673,1.28533,0.63293,0.59358,0.5989,0.2147,2.26583,1.21847,1.34151,0.00764875,0.00764875,0.00764875
21,1375.87,1.9326,1.33467,1.28906,0.62537,0.54062,0.59233,0.22803,2.15638,1.22904,1.29555,0.007525,0.007525,0.007525
22,1440.95,1.92495,1.31992,1.27802,0.64444,0.57368,0.61424,0.24155,2.11837,1.20181,1.28671,0.00740125,0.00740125,0.00740125
23,1505.46,1.91096,1.31081,1.27847,0.64145,0.60073,0.63883,0.24441,2.12822,1.1973,1.28632,0.0072775,0.0072775,0.0072775
24,1570.88,1.90661,1.29973,1.27363,0.62007,0.54128,0.59005,0.23557,2.13062,1.21042,1.28198,0.00715375,0.00715375,0.00715375
25,1635.84,1.91205,1.30029,1.27091,0.62464,0.56183,0.60584,0.23102,2.15585,1.17648,1.29935,0.00703,0.00703,0.00703
26,1700.98,1.89614,1.28741,1.26693,0.64253,0.5953,0.62328,0.23878,2.19236,1.16507,1.30398,0.00690625,0.00690625,0.00690625
27,1766.03,1.88715,1.27679,1.26643,0.64869,0.56789,0.6358,0.25186,2.10342,1.14927,1.27279,0.0067825,0.0067825,0.0067825
28,1831.36,1.88564,1.27764,1.26321,0.67068,0.58899,0.62932,0.24551,2.15721,1.1671,1.28633,0.00665875,0.00665875,0.00665875
29,1896.42,1.87472,1.27235,1.25992,0.63274,0.55505,0.60915,0.23715,2.17907,1.15541,1.28891,0.006535,0.006535,0.006535
30,1961.46,1.87598,1.26132,1.25895,0.66207,0.54404,0.62079,0.24963,2.13423,1.13541,1.27484,0.00641125,0.00641125,0.00641125
31,2026.5,1.87865,1.25485,1.25377,0.64118,0.59346,0.63124,0.2515,2.13733,1.13316,1.27093,0.0062875,0.0062875,0.0062875
32,2091.48,1.86227,1.24846,1.25182,0.65704,0.57339,0.63769,0.25281,2.11415,1.13899,1.26619,0.00616375,0.00616375,0.00616375
33,2156.51,1.86053,1.24596,1.24885,0.6592,0.52569,0.61737,0.24171,2.15262,1.16198,1.27776,0.00604,0.00604,0.00604
34,2221.32,1.85884,1.23608,1.24648,0.65139,0.56789,0.63013,0.25244,2.1344,1.13216,1.26659,0.00591625,0.00591625,0.00591625
35,2286.17,1.84975,1.2327,1.24565,0.67804,0.57577,0.64063,0.2655,2.09579,1.11611,1.24832,0.0057925,0.0057925,0.0057925
36,2351.17,1.85238,1.22899,1.2439,0.66568,0.56789,0.63652,0.26248,2.08643,1.10876,1.24419,0.00566875,0.00566875,0.00566875
37,2416.07,1.84514,1.22007,1.24056,0.68283,0.54909,0.64038,0.26243,2.08986,1.11919,1.24618,0.005545,0.005545,0.005545
38,2481.31,1.84437,1.21749,1.24033,0.69051,0.58337,0.65949,0.26795,2.09685,1.10489,1.24334,0.00542125,0.00542125,0.00542125
39,2546.54,1.83694,1.20655,1.23137,0.69766,0.61181,0.67961,0.28524,2.04241,1.0711,1.2274,0.0052975,0.0052975,0.0052975
40,2611.73,1.82982,1.20817,1.23354,0.66492,0.55321,0.63822,0.26635,2.08956,1.09979,1.24471,0.00517375,0.00517375,0.00517375
41,2676.66,1.81629,1.19717,1.22996,0.67499,0.60183,0.66962,0.27328,2.0946,1.0842,1.24511,0.00505,0.00505,0.00505
42,2741.79,1.82617,1.19791,1.22701,0.7051,0.61835,0.68538,0.2826,2.06519,1.05566,1.23615,0.00492625,0.00492625,0.00492625
43,2806.57,1.80651,1.18605,1.2268,0.68884,0.63211,0.69076,0.29253,2.02197,1.05285,1.21599,0.0048025,0.0048025,0.0048025
44,2871.45,1.80962,1.18494,1.22762,0.7002,0.6211,0.67946,0.2834,2.05782,1.06072,1.22605,0.00467875,0.00467875,0.00467875
45,2936.18,1.80957,1.18235,1.22449,0.71457,0.60734,0.67818,0.27468,2.0871,1.0732,1.23847,0.004555,0.004555,0.004555
46,3001,1.80113,1.17277,1.22098,0.70323,0.62202,0.69674,0.28915,2.03723,1.04279,1.22021,0.00443125,0.00443125,0.00443125
47,3065.76,1.79665,1.1666,1.21917,0.68279,0.62661,0.68313,0.28921,2.0281,1.04111,1.21515,0.0043075,0.0043075,0.0043075
48,3130.84,1.79984,1.16497,1.21679,0.70114,0.62661,0.68539,0.28686,2.05339,1.05412,1.22663,0.00418375,0.00418375,0.00418375
49,3195.56,1.79317,1.16286,1.21492,0.70157,0.62294,0.69172,0.28939,2.05673,1.04492,1.22609,0.00406,0.00406,0.00406
50,3260.33,1.77612,1.1493,1.21054,0.71792,0.61177,0.68238,0.28319,2.06907,1.04927,1.22856,0.00393625,0.00393625,0.00393625
51,3324.98,1.77439,1.14624,1.20679,0.71561,0.62752,0.69562,0.29255,2.04189,1.03862,1.21714,0.0038125,0.0038125,0.0038125
52,3389.78,1.77454,1.14398,1.211,0.70894,0.62844,0.69586,0.29897,2.01212,1.03216,1.20825,0.00368875,0.00368875,0.00368875
53,3454.24,1.77396,1.13744,1.20847,0.71414,0.63717,0.69356,0.29481,2.03077,1.03037,1.22017,0.003565,0.003565,0.003565
54,3518.79,1.7701,1.1377,1.20706,0.7295,0.61284,0.69494,0.29657,2.03363,1.03183,1.21733,0.00344125,0.00344125,0.00344125
55,3583.31,1.76174,1.12923,1.20366,0.73577,0.62018,0.69504,0.2916,2.04996,1.02627,1.22195,0.0033175,0.0033175,0.0033175
56,3647.92,1.75253,1.12027,1.20042,0.72871,0.61284,0.69515,0.29697,2.03851,1.01711,1.21703,0.00319375,0.00319375,0.00319375
57,3712.51,1.7552,1.12575,1.20007,0.72959,0.6156,0.69763,0.29343,2.04524,1.01652,1.22046,0.00307,0.00307,0.00307
58,3777.03,1.74205,1.10951,1.19482,0.73347,0.59834,0.69738,0.30141,2.01386,1.01201,1.20958,0.00294625,0.00294625,0.00294625
59,3841.39,1.73917,1.10988,1.19299,0.73094,0.61284,0.70251,0.30575,1.99362,1.01319,1.19889,0.0028225,0.0028225,0.0028225
60,3905.55,1.73859,1.10271,1.19139,0.72603,0.60642,0.6973,0.30109,2.00908,1.01792,1.20262,0.00269875,0.00269875,0.00269875
61,3969.72,1.73757,1.10467,1.19095,0.72437,0.60734,0.69489,0.29855,2.01555,1.01739,1.20472,0.002575,0.002575,0.002575
62,4034.4,1.71792,1.09413,1.19062,0.72881,0.60654,0.68998,0.2952,2.02418,1.01815,1.2071,0.00245125,0.00245125,0.00245125
63,4098.89,1.72526,1.09047,1.18799,0.73035,0.60092,0.6963,0.30282,2.00101,1.00554,1.20018,0.0023275,0.0023275,0.0023275
64,4163.38,1.72117,1.08523,1.18323,0.72701,0.6055,0.69984,0.30631,1.98752,0.99879,1.19515,0.00220375,0.00220375,0.00220375
65,4227.92,1.71403,1.08266,1.1824,0.75108,0.60069,0.70586,0.30741,1.98311,0.99259,1.19394,0.00208,0.00208,0.00208
66,4292.93,1.71104,1.08221,1.18128,0.74646,0.60826,0.70585,0.30748,1.98638,0.9911,1.19621,0.00195625,0.00195625,0.00195625
67,4358.05,1.71029,1.07643,1.18038,0.75925,0.61629,0.70977,0.30945,1.98224,0.9885,1.19423,0.0018325,0.0018325,0.0018325
68,4422.86,1.69055,1.0647,1.17527,0.75381,0.62363,0.71522,0.31257,1.97491,0.9828,1.19018,0.00170875,0.00170875,0.00170875
69,4487.94,1.70638,1.06803,1.17355,0.74793,0.62661,0.71545,0.3142,1.9682,0.98241,1.18655,0.001585,0.001585,0.001585
70,4552.65,1.6902,1.06041,1.17317,0.74586,0.63275,0.71737,0.31475,1.95824,0.98024,1.18309,0.00146125,0.00146125,0.00146125
71,4618.22,1.72053,1.04411,1.18512,0.74971,0.62844,0.72163,0.31675,1.95527,0.97482,1.18094,0.0013375,0.0013375,0.0013375
72,4682.57,1.71085,1.03224,1.18048,0.74429,0.62487,0.71886,0.31812,1.95018,0.97433,1.17832,0.00121375,0.00121375,0.00121375
73,4746.62,1.6991,1.02277,1.17803,0.74587,0.63548,0.72392,0.32171,1.94017,0.97098,1.17414,0.00109,0.00109,0.00109
74,4810.69,1.69509,1.02243,1.1759,0.753,0.63394,0.72152,0.32334,1.9299,0.96796,1.17,0.00096625,0.00096625,0.00096625
75,4875.05,1.68499,1.01587,1.17062,0.74013,0.6367,0.72021,0.32342,1.92309,0.96548,1.1676,0.0008425,0.0008425,0.0008425
76,4939,1.67849,1.00899,1.16874,0.73408,0.63486,0.71731,0.32591,1.91788,0.96294,1.16599,0.00071875,0.00071875,0.00071875
77,5003.25,1.6717,0.99786,1.16615,0.73586,0.63945,0.72024,0.32479,1.91806,0.96052,1.16634,0.000595,0.000595,0.000595
78,5067.26,1.66645,0.995,1.16329,0.72535,0.64495,0.71802,0.32387,1.91754,0.96031,1.16669,0.00047125,0.00047125,0.00047125
79,5131.36,1.66416,1.00108,1.16284,0.71897,0.65016,0.71852,0.3252,1.91527,0.9594,1.16611,0.0003475,0.0003475,0.0003475
80,5195.51,1.65593,0.99001,1.15947,0.72435,0.65138,0.7204,0.32575,1.91683,0.95913,1.16618,0.00022375,0.00022375,0.00022375
